_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
816895,4156385,2017.0,2021,1940.0,PRIVATE,20,Scarborough Southwest,1481 KINGSTON RD,3,15,2021-12-14,53,Evaluation needs to be conducted in 1 year,15,3.0,3.0,2.0,2.0,2.0,3.0,,3.0,,,2.0,2.0,5.0,3.0,2.0,2.0,,3.0,3.0,,E2034,43.688423918000005,-79.269500963,323393.784,4838549.187
816896,4156035,2017.0,2021,1940.0,PRIVATE,20,Scarborough Southwest,1463 KINGSTON RD,3,14,2021-12-14,55,Evaluation needs to be conducted in 1 year,15,3.0,3.0,2.0,2.0,2.0,3.0,,3.0,,,2.0,2.0,4.0,3.0,3.0,3.0,,3.0,3.0,,E2034,43.687961103999996,-79.269766888,323354.61100000003,4838512.321
816897,4156379,2017.0,2021,1940.0,PRIVATE,20,Scarborough Southwest,1449 KINGSTON RD,3,14,2021-12-14,55,Evaluation needs to be conducted in 1 year,15,3.0,3.0,2.0,2.0,2.0,3.0,,3.0,,,3.0,2.0,5.0,3.0,2.0,2.0,,3.0,3.0,,E2034,43.687794468,-79.270325262,323298.75800000003,4838460.592
816898,4154596,2017.0,2021,1960.0,PRIVATE,6,York Centre,3880 BATHURST ST,4,58,2021-12-13,86,Evaluation needs to be conducted in 3 years,18,3.0,4.0,5.0,4.0,4.0,5.0,,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,,N0629,43.741815421000005,-79.4356700472,309966.025,4844430.022
816899,4152678,2017.0,2021,1971.0,PRIVATE,20,Scarborough Southwest,2223 EGLINTON AVE E,6,75,2021-12-13,84,Evaluation needs to be conducted in 2 years,18,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,,E2023,43.729631061499994,-79.2767123962,322772.838,4843098.516
816900,4152600,2017.0,2021,1972.0,PRIVATE,20,Scarborough Southwest,273 PHARMACY AVE,18,280,2021-12-13,88,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,E2028,43.700248057299994,-79.2862500131,322012.917,4839832.19
816901,4154624,2017.0,2021,1979.0,PRIVATE,6,York Centre,300 ANTIBES DR,21,372,2021-12-13,79,Evaluation needs to be conducted in 2 years,19,5.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,N0622,43.7812935158,-79.450030785,308806.743,4848815.09
816902,4154425,2017.0,2021,1945.0,PRIVATE,6,York Centre,2852 KEELE ST,3,11,2021-12-13,68,Evaluation needs to be conducted in 2 years,16,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,,3.0,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,2.0,,N0627,43.7314423393,-79.4836241974,306103.75,4843275.795
816903,4154595,2017.0,2021,1960.0,PRIVATE,6,York Centre,3884 BATHURST ST,4,28,2021-12-13,87,Evaluation needs to be conducted in 3 years,17,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,,N0629,43.7422578587,-79.4357863772,309956.619,4844479.1680000005
816904,4156455,2017.0,2021,1969.0,TCHC,20,Scarborough Southwest,20 EPPLEWORTH RD,3,36,2021-12-13,66,Evaluation needs to be conducted in 2 years,16,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,,,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,,E2023,43.726760854,-79.263575088,323859.729,4842772.896000001
816905,4152569,2017.0,2021,1960.0,PRIVATE,20,Scarborough Southwest,1711 KINGSTON RD,3,18,2021-12-13,70,Evaluation needs to be conducted in 2 years,16,3.0,3.0,5.0,3.0,3.0,3.0,,4.0,,3.0,3.0,3.0,5.0,4.0,3.0,4.0,,4.0,3.0,,E2034,43.692233898199994,-79.2630193825,323887.837,4838946.94
816906,4153003,2017.0,2021,1922.0,PRIVATE,4,Parkdale-High Park,1623 QUEEN ST W,4,42,2021-12-13,72,Evaluation needs to be conducted in 2 years,15,3.0,4.0,4.0,4.0,4.0,4.0,,3.0,,4.0,3.0,3.0,5.0,3.0,4.0,3.0,,3.0,,,S0436,43.638781441400006,-79.4452145314,309204.71,4832982.945
816907,4154580,2017.0,2021,1962.0,TCHC,6,York Centre,12 KING HIGH AVE,3,31,2021-12-13,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,,,4.0,5.0,5.0,4.0,3.0,4.0,,5.0,4.0,,N0629,43.7362282425,-79.4430990859,309368.07399999996,4843808.919
816908,4156240,2017.0,2021,1969.0,TCHC,20,Scarborough Southwest,30 EPPLEWORTH RD,3,45,2021-12-13,70,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,3.0,3.0,4.0,,3.0,,,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,E2023,43.727206753999994,-79.263241732,323854.783,4842776.82
816909,4152609,2017.0,2021,1968.0,PRIVATE,20,Scarborough Southwest,3423 ST CLAIR AVE E,4,30,2021-12-13,85,Evaluation needs to be conducted in 2 years,19,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,,E2029,43.7134790514,-79.2732946837,323053.066,4841304.866
816910,4154617,2017.0,2021,1959.0,PRIVATE,6,York Centre,81 GARTHDALE CRT,3,10,2021-12-13,72,Evaluation needs to be conducted in 2 years,17,3.0,4.0,4.0,3.0,3.0,3.0,,4.0,,3.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,,N0624,43.7648967345,-79.4644796149,307644.521,4846992.893
816911,4152559,2017.0,2021,1954.0,PRIVATE,20,Scarborough Southwest,3000 QUEEN ST E,4,30,2021-12-13,89,Evaluation needs to be conducted in 3 years,16,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,5.0,4.0,5.0,5.0,4.0,4.0,4.0,,5.0,3.0,,E2033,43.675330629499996,-79.27794494220001,322689.673,4837065.722
816912,4152586,2017.0,2021,1968.0,PRIVATE,20,Scarborough Southwest,2570 KINGSTON RD,10,118,2021-12-13,79,Evaluation needs to be conducted in 2 years,19,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,,E2032,43.713486558999996,-79.2466803233,325197.68,4841311.898
816913,4153012,2017.0,2021,1958.0,PRIVATE,4,Parkdale-High Park,150 DOWLING AVE,7,66,2021-12-12,82,Evaluation needs to be conducted in 2 years,17,5.0,5.0,5.0,5.0,5.0,4.0,,3.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,,,S0436,43.6378411067,-79.43950512159999,309665.443,4832878.791999999
816914,4152790,2017.0,2021,1960.0,PRIVATE,20,Scarborough Southwest,3131 EGLINTON AVE E,7,82,2021-12-10,72,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,3.0,3.0,4.0,,3.0,4.0,,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,,E2027,43.741715689799996,-79.2228457117,327107.906,4844454.096
816915,4152683,2017.0,2021,1968.0,PRIVATE,20,Scarborough Southwest,2243 EGLINTON AVE E,6,91,2021-12-10,84,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,4.0,,5.0,5.0,,3.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,,E2023,43.730150476700004,-79.2739999078,322991.213,4843156.818
816916,4155561,2017.0,2021,1962.0,TCHC,20,Scarborough Southwest,1 FIRVALLEY CRT,12,115,2021-12-10,71,Evaluation needs to be conducted in 2 years,18,3.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,,3.0,4.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,,E2028,43.7029523574,-79.28102862850001,322432.94800000003,4840133.711
816917,4155710,2017.0,2021,2005.0,PRIVATE,9,Davenport,55 LISGAR ST,9,116,2021-12-10,80,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,S0937,43.6426365625,-79.4230275047,310994.457,4833412.558
816918,4155730,2017.0,2021,2010.0,PRIVATE,9,Davenport,45 LISGAR ST,14,291,2021-12-10,83,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,S0937,43.6421269068,-79.42276226140001,311015.908,4833355.956
816919,4155686,2017.0,2021,2003.0,SOCIAL HOUSING,8,Eglinton-Lawrence,651 LAWRENCE AVE W,3,24,2021-12-10,89,Evaluation needs to be conducted in 3 years,17,4.0,4.0,4.0,5.0,5.0,4.0,,4.0,4.0,,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,3.0,5.0,N0827,43.716103619399995,-79.4429013897,309385.499,4841573.16
816920,4152783,2017.0,2021,1964.0,PRIVATE,20,Scarborough Southwest,3744 ST CLAIR AVE E,6,88,2021-12-10,89,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,E2032,43.7209375824,-79.2430985709,325483.757,4842140.563999999
816921,4155563,2017.0,2021,1971.0,TCHC,20,Scarborough Southwest,30 TEESDALE PL,24,278,2021-12-10,62,Evaluation needs to be conducted in 1 year,18,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,,1.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,2.0,,E2028,43.697003832200004,-79.28779229199999,321889.538,4839471.448
816922,4155061,2017.0,2021,1960.0,PRIVATE,8,Eglinton-Lawrence,851 BRIAR HILL AVE,3,10,2021-12-10,80,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0831,43.7044391867,-79.4423269927,309432.683,4840277.301
816923,4156598,2017.0,2021,2011.0,SOCIAL HOUSING,9,Davenport,180 SUDBURY ST,18,190,2021-12-10,78,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,S0937,43.641893011,-79.425161314,310822.114,4833330.761
816924,4155062,2017.0,2021,1965.0,PRIVATE,8,Eglinton-Lawrence,370 RIDELLE AVE,28,214,2021-12-10,91,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,N0831,43.7046374432,-79.440751474,309559.647,4840299.426
816925,4155591,2017.0,2021,1968.0,TCHC,9,Davenport,61 PELHAM PARK GDNS,17,352,2021-12-10,59,Evaluation needs to be conducted in 1 year,20,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,S0926,43.66925972,-79.457795659,308187.607,4836369.289
816926,4153648,2017.0,2021,1989.0,TCHC,14,Toronto-Danforth,39 HARCOURT AVE,3,15,2021-12-09,86,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,3.0,4.0,4.0,,5.0,,,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,,5.0,S1429,43.677145636800006,-79.34450560149999,317322.303,4837255.226
816927,4155008,2017.0,2021,1968.0,PRIVATE,9,Davenport,161 OAKWOOD AVE,19,151,2021-12-09,84,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,S0925,43.680342384,-79.43554842399999,309967.474,4837608.076
816928,4155067,2017.0,2021,1967.0,PRIVATE,9,Davenport,65 DYNEVOR RD,9,90,2021-12-09,79,Evaluation needs to be conducted in 2 years,19,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,,S0922,43.6915639113,-79.4491372654,308884.626,4838846.609
816929,4153616,2017.0,2021,1940.0,PRIVATE,14,Toronto-Danforth,849 BROADVIEW AVE,4,32,2021-12-09,89,Evaluation needs to be conducted in 3 years,14,4.0,5.0,5.0,4.0,5.0,4.0,,4.0,,,5.0,5.0,5.0,4.0,4.0,4.0,,4.0,,,S1424,43.6794139167,-79.35783854,316246.839,4837505.327
816930,4153160,2017.0,2021,1971.0,PRIVATE,9,Davenport,919 DUFFERIN ST,15,113,2021-12-09,77,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,,S0934,43.6575632508,-79.4340091901,310107.154,4835070.126
816931,4153156,2017.0,2021,1967.0,SOCIAL HOUSING,9,Davenport,661 DUFFERIN ST,13,112,2021-12-09,72,Evaluation needs to be conducted in 2 years,18,4.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,,4.0,S0934,43.650489538900004,-79.4313915091,310318.929,4834284.426
816932,4166944,2017.0,2021,1967.0,PRIVATE,14,Toronto-Danforth,70 CAMBRIDGE AVE,21,275,2021-12-09,88,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,S1424,43.678116007,-79.3607869844,316009.354,4837360.726
816933,4152996,2017.0,2021,1955.0,PRIVATE,4,Parkdale-High Park,99 DOWLING AVE,5,111,2021-12-09,84,Evaluation needs to be conducted in 2 years,17,5.0,5.0,5.0,3.0,5.0,5.0,,3.0,4.0,,3.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,,S0437,43.6357677908,-79.43779799970001,309803.351,4832648.561000001
816934,4152957,2017.0,2021,1960.0,PRIVATE,4,Parkdale-High Park,35 SPENCER AVE,7,80,2021-12-09,84,Evaluation needs to be conducted in 2 years,16,5.0,3.0,5.0,3.0,,4.0,,2.0,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,,S0437,43.635361871,-79.429350661,310484.708,4832604.925
816935,4155407,2017.0,2021,1968.0,PRIVATE,2,Etobicoke Centre,695 MARTIN GROVE RD,12,142,2021-12-09,73,Evaluation needs to be conducted in 2 years,19,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,,W0221,43.682026488999995,-79.565970029,299462.268,4837680.56
816936,4152976,2017.0,2021,1931.0,PRIVATE,4,Parkdale-High Park,131 DUNN AVE,3,29,2021-12-09,73,Evaluation needs to be conducted in 2 years,14,3.0,3.0,5.0,2.0,2.0,4.0,,3.0,,,3.0,3.0,5.0,5.0,5.0,4.0,,4.0,,,S0437,43.635897529,-79.432069219,310265.309,4832664.263
816937,4153013,2017.0,2021,1973.0,PRIVATE,4,Parkdale-High Park,146 DOWLING AVE,7,68,2021-12-09,61,Evaluation needs to be conducted in 1 year,15,3.0,3.0,5.0,2.0,,3.0,,4.0,2.0,,3.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,,,S0436,43.6375473099,-79.4394028974,309673.714,4832846.159
816938,4152973,2017.0,2021,1959.0,PRIVATE,4,Parkdale-High Park,60 TYNDALL AVE,9,69,2021-12-09,78,Evaluation needs to be conducted in 2 years,17,4.0,3.0,5.0,3.0,3.0,4.0,,4.0,4.0,,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,,S0437,43.6358852908,-79.4287210164,310535.728,4832662.16
816939,4153033,2017.0,2021,1957.0,PRIVATE,4,Parkdale-High Park,169 JAMESON AVE,8,72,2021-12-08,78,Evaluation needs to be conducted in 2 years,17,4.0,5.0,5.0,3.0,4.0,4.0,,3.0,3.0,,4.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,,S0436,43.6382976952,-79.43605420520001,309943.839,4832929.71
816940,4155793,2017.0,2021,1973.0,PRIVATE,2,Etobicoke Centre,120 WIDDICOMBE HILL BLVD,17,233,2021-12-08,81,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,,W0222,43.676467695,-79.559152675,300081.20399999997,4837170.804
816941,4155889,2017.0,2021,1974.0,PRIVATE,2,Etobicoke Centre,73 WIDDICOMBE HILL BLVD,17,228,2021-12-08,80,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,,3.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,,W0222,43.677126322,-79.556808045,300130.803,4837178.874
816942,4152974,2017.0,2021,1965.0,PRIVATE,4,Parkdale-High Park,40 TYNDALL AVE,7,65,2021-12-08,79,Evaluation needs to be conducted in 2 years,17,5.0,3.0,5.0,3.0,4.0,4.0,,3.0,4.0,,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,,S0437,43.635622675200004,-79.42849810050001,310553.738,4832633.0
816943,4156290,2017.0,2021,1969.0,PRIVATE,9,Davenport,357 RUSHOLME RD,16,267,2021-12-08,76,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,,S0934,43.660038774200004,-79.4305495251,310375.291,4835342.328
816944,4153164,2017.0,2021,1968.0,PRIVATE,9,Davenport,323 RUSHOLME RD,20,226,2021-12-08,76,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,,S0934,43.658994583,-79.430040338,310404.687,4835239.268999999
816945,4153155,2017.0,2021,1955.0,PRIVATE,9,Davenport,14 RUSHOLME DR,4,22,2021-12-08,79,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,4.0,4.0,,4.0,,3.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,,S0934,43.650255834700005,-79.4286011017,310544.063,4834258.652
816946,4153110,2018.0,2021,1929.0,PRIVATE,9,Davenport,927 ST CLAIR AVE W,4,23,2021-12-08,81,Evaluation needs to be conducted in 2 years,14,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,,,S0928,43.6795067205,-79.4348853708,310034.484,4837507.881
816947,4152972,2017.0,2021,1962.0,PRIVATE,4,Parkdale-High Park,90 TYNDALL AVE,18,120,2021-12-08,82,Evaluation needs to be conducted in 2 years,18,4.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,,3.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,,S0437,43.636188769700006,-79.4287694979,310531.789,4832695.871
816948,4153386,2017.0,2021,1982.0,TCHC,13,Toronto Centre,171 FRONT ST E,3,61,2021-12-07,73,Evaluation needs to be conducted in 2 years,17,3.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,,,S1339,43.6499749234,-79.3684698144,315394.78,4834233.377
816949,4154117,2017.0,2021,1970.0,PRIVATE,14,Toronto-Danforth,60 GOWAN AVE,21,118,2021-12-07,87,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,,S1421,43.6880167433,-79.3522352421,316696.92699999997,4838461.851
816950,4152980,2017.0,2021,1959.0,PRIVATE,4,Parkdale-High Park,87 JAMESON AVE,9,91,2021-12-07,78,Evaluation needs to be conducted in 2 years,16,3.0,4.0,5.0,3.0,,5.0,,4.0,4.0,,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,,S0437,43.6348167577,-79.4347671675,310047.976,4832543.088
816951,4152981,2017.0,2021,1967.0,PRIVATE,4,Parkdale-High Park,91 JAMESON AVE,11,76,2021-12-07,79,Evaluation needs to be conducted in 2 years,17,5.0,3.0,5.0,5.0,5.0,4.0,,4.0,4.0,,5.0,4.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,,S0437,43.6351237062,-79.434885342,310038.415,4832577.18
816952,4153030,2017.0,2021,1910.0,SOCIAL HOUSING,4,Parkdale-High Park,149 JAMESON AVE,5,48,2021-12-07,85,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,,4.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,,,S0436,43.6374026152,-79.4357893144,309965.285,4832830.29
816953,4153023,2019.0,2021,1963.0,PRIVATE,4,Parkdale-High Park,190 JAMESON AVE,11,62,2021-12-07,75,Evaluation needs to be conducted in 2 years,16,4.0,3.0,3.0,3.0,3.0,4.0,,3.0,4.0,,3.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,,,S0436,43.6393484586,-79.43723404560001,309848.56,4833046.373
816954,4155349,2017.0,2021,1969.0,PRIVATE,2,Etobicoke Centre,500 SCARLETT RD,14,129,2021-12-07,85,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,,W0230,43.6857584584,-79.5133729757,303706.277,4838200.637
